Name,Price,Product URL,Image URL
ADIDAS Run 84 Shoes Sportswear Shoes - White,"EGP 3,164.00",https://www.jumia.com.eg/adidas-run-84-shoes-sportswear-shoes-white-131457265.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/2754131/1.jpg?8245
ADIDAS Duramo RC Shoes,"EGP 1,918.00",https://www.jumia.com.eg/adidas-duramo-rc-shoes-132013475.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/57/4310231/1.jpg?3061
mintra Sports Shoe For Men - Brilliant white/Brilliant white,"EGP 1,076.60",https://www.jumia.com.eg/mintra-sports-shoe-for-men-brilliant-whitebrilliant-white-131931659.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/6139131/1.jpg?6830
Anta Cross-Training Shoes For Men - Grey,"EGP 2,774.00",https://www.jumia.com.eg/anta-cross-training-shoes-for-men-grey-130129213.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/2921031/1.jpg?4958
ADIDAS MERCEDES - AMG PETRONAS FORMULA ONE TEAM VL COURT SHOES,"EGP 2,637.00",https://www.jumia.com.eg/adidas-mercedes-amg-petronas-formula-one-team-vl-court-shoes-132013528.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/5310231/1.jpg?3412
ADIDAS Midcity Low Shoes Basketball Shoes - White,"EGP 3,164.00",https://www.jumia.com.eg/adidas-midcity-low-shoes-basketball-shoes-white-131457230.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/03/2754131/1.jpg?7678
ADIDAS Ultrarun 5 Tr Running Shoes Running Shoes - Blue,"EGP 3,956.00",https://www.jumia.com.eg/adidas-ultrarun-5-tr-running-shoes-running-shoes-blue-131457307.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/70/3754131/1.jpg?2261
ADIDAS Lite Racer Adapt 7.0 Shoes Sportswear Shoes - Black,"EGP 2,637.00",https://www.jumia.com.eg/adidas-lite-racer-adapt-7.0-shoes-sportswear-shoes-black-131457224.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/2754131/1.jpg?8097
ADIDAS Courtblock Shoes Sportswear Shoes - Grey,"EGP 2,426.00",https://www.jumia.com.eg/adidas-courtblock-shoes-sportswear-shoes-grey-131457304.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/40/3754131/1.jpg?8071
ADIDAS Barreda Shoes Sportswear Shoes - Green,"EGP 2,637.00",https://www.jumia.com.eg/adidas-barreda-shoes-sportswear-shoes-green-131457310.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/3754131/1.jpg?7658
